Server;Tagname;Value;Timestamp;Questionable;Annotated;Substituted
pi.vkg.ee;GGS5.GG12.TDT8;816.0612;15.03.2019 06:37:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.364;15.03.2019 06:37:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.364;15.03.2019 06:38:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;829.3405;15.03.2019 06:39:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;829.9352;15.03.2019 06:41:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.4775;15.03.2019 06:41:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.4775;15.03.2019 06:42:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;824.8216;15.03.2019 06:42:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;820.6595;15.03.2019 06:44:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.8487;15.03.2019 07:00:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;819.6685;15.03.2019 07:00:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;819.6685;15.03.2019 07:01:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;816.973;15.03.2019 07:01:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;818.5982;15.03.2019 07:09:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.4126;15.03.2019 07:11:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;819.0739;15.03.2019 07:11:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;819.0739;15.03.2019 07:12:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.8396;15.03.2019 07:12:28;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.8396;15.03.2019 07:13:33;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.7064;15.03.2019 07:13:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.7064;15.03.2019 07:14:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;832.9081;15.03.2019 07:14:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;832.9081;15.03.2019 07:15:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;836.9117;15.03.2019 07:15:48;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;836.2775;15.03.2019 07:17:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;832.3531;15.03.2019 07:17:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;832.3531;15.03.2019 07:19:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;829.6577;15.03.2019 07:19:08;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;830.6486;15.03.2019 07:22:18;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;827.3982;15.03.2019 07:22:23;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;828.3892;15.03.2019 07:25:38;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;831.6793;15.03.2019 07:25:43;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;830.9658;15.03.2019 07:27:53;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.4955;15.03.2019 07:27:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;825.4955;15.03.2019 07:28:58;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;821.2144;15.03.2019 07:29:03;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;822.1658;15.03.2019 07:31:13;False;Not Annotated;False
pi.vkg.ee;GGS5.GG12.TDT8;824.5045;15.03.2019 07:31:18;False;Not Annotated;False
